iter	Logloss
0	0.632255715
1	0.57893933
2	0.535853183
3	0.5069442819
4	0.4830830098
5	0.4655726346
6	0.4508456893
7	0.4414902595
8	0.4294478199
9	0.4223208699
10	0.4152963039
11	0.4098431276
12	0.406407118
13	0.404140163
14	0.4009304747
15	0.3986322214
16	0.3953725278
17	0.3941882693
18	0.3914008096
19	0.389442934
20	0.3859921358
21	0.3841550132
22	0.3824272787
23	0.3819114837
24	0.3805936876
25	0.3765991291
26	0.3746198395
27	0.3731414833
28	0.3722313839
29	0.3706695663
30	0.3699523323
31	0.3697427276
32	0.3686297248
33	0.3679493827
34	0.3671207335
35	0.3657241719
36	0.3650209463
37	0.3645804365
38	0.3636652386
39	0.3615360328
40	0.3603021471
41	0.3597238197
42	0.357856361
43	0.3570056189
44	0.3568194146
45	0.3562034538
46	0.3559201043
47	0.3552749099
48	0.3543816292
49	0.3539320306
50	0.3535786354
51	0.3530975277
52	0.3518145131
53	0.3515032903
54	0.3507578913
55	0.3503053601
56	0.3491076247
57	0.3489980647
58	0.3487379058
59	0.3483993708
60	0.3480558988
61	0.3476441236
62	0.3472721706
63	0.3457940225
64	0.3450787977
65	0.3445192106
66	0.3440680747
67	0.3436729517
68	0.3434920921
69	0.3432917822
70	0.3431063467
71	0.3424140449
72	0.3408312926
73	0.3400239564
74	0.339610899
75	0.3383066844
76	0.3356158884
77	0.3355144403
78	0.3341674914
79	0.3317675004
80	0.3316933873
81	0.3316151685
82	0.3311299045
83	0.330890905
84	0.3307177226
85	0.3299013815
86	0.329366779
87	0.3292235225
88	0.3272423459
89	0.325419159
90	0.3244058469
91	0.3240907795
92	0.3235007889
93	0.3221996767
94	0.322156298
95	0.3216285751
96	0.3188615966
97	0.3182380687
98	0.3166804267
99	0.3162830131
100	0.3148672129
101	0.3146446352
102	0.3145155943
103	0.3123413337
104	0.3117557369
105	0.3113284398
106	0.3112650278
107	0.30989505
108	0.3093167644
109	0.3076413901
110	0.3072598598
111	0.3062064065
112	0.3047370466
113	0.3031341117
114	0.3027893769
115	0.3024741031
116	0.3010416064
117	0.2994029492
118	0.2992275001
119	0.2976989987
120	0.2963453853
121	0.2957757532
122	0.2942560428
123	0.293990158
124	0.2939515855
125	0.2923298414
126	0.2920464113
127	0.2916966897
128	0.2908120315
129	0.289863393
130	0.2898233742
131	0.2886004714
132	0.2874591731
133	0.2874296378
134	0.2870123139
135	0.2861751061
136	0.284900745
137	0.2845471154
138	0.2833363643
139	0.282376109
140	0.282139965
141	0.28086126
142	0.2799706192
143	0.2799284902
144	0.2795710822
145	0.2790519976
146	0.2785581554
147	0.278331482
148	0.2776760965
149	0.2776524109
150	0.2776206871
151	0.2771592775
152	0.2770571235
153	0.2764123488
154	0.2757613872
155	0.275351484
156	0.2750695203
157	0.2741348955
158	0.273469961
159	0.273447046
160	0.2727772554
161	0.2726124053
162	0.2717425333
163	0.2717017499
164	0.2716798431
165	0.2714679495
166	0.2702912243
167	0.2702355122
168	0.2692377726
169	0.2677752807
170	0.2662956104
171	0.2658948486
172	0.2651196267
173	0.2649636879
174	0.2644568522
175	0.2632537029
176	0.2625952125
177	0.2617976407
178	0.2614928472
179	0.2603329146
180	0.2591527819
181	0.2582006936
182	0.2571648682
183	0.2565847175
184	0.2556501278
185	0.2550387734
186	0.2542415935
187	0.2535095305
188	0.2529389317
189	0.2520062371
190	0.2518382018
191	0.251520175
192	0.2508444444
193	0.2507628364
194	0.2505285308
195	0.2496867507
196	0.2488842088
197	0.2481499082
198	0.247397302
199	0.2468598278
200	0.2460427031
201	0.2452462454
202	0.2443069153
203	0.243582087
204	0.243552094
205	0.2429086467
206	0.2423393258
207	0.2422675294
208	0.2416682566
209	0.2408038798
210	0.2402192947
211	0.2394742186
212	0.2390101102
213	0.2382159008
214	0.237911873
215	0.237195536
216	0.2369264635
217	0.2368996442
218	0.2360668919
219	0.2356768075
220	0.2354959355
221	0.2350738638
222	0.2347380761
223	0.2344964591
224	0.2340192454
225	0.2334719173
226	0.2330347966
227	0.232412392
228	0.2315483525
229	0.2309118866
230	0.2308771654
231	0.2305937891
232	0.2290547769
233	0.2290124872
234	0.2285984279
235	0.2285747512
236	0.2285234273
237	0.2284998047
238	0.2280892031
239	0.2272952868
240	0.2267208717
241	0.2260914505
242	0.2254889921
243	0.2253721585
244	0.2253330764
245	0.2251690589
246	0.2249368404
247	0.2245948146
248	0.22395803
249	0.2232853773
250	0.2230251498
251	0.2226386065
252	0.2226164229
253	0.2224099372
254	0.2222038759
255	0.2217194789
256	0.2216916199
257	0.2216168009
258	0.2211086414
259	0.2204819567
260	0.2201027675
261	0.2199618744
262	0.2189903837
263	0.2185106535
264	0.2183615444
265	0.2182923617
266	0.2180679399
267	0.2178404557
268	0.2170445206
269	0.2169534965
270	0.2168921069
271	0.2164805575
272	0.2158829195
273	0.2150385693
274	0.2148446539
275	0.2147965545
276	0.2147827158
277	0.2147085726
278	0.2145257901
279	0.2144793736
280	0.2140024753
281	0.2139887475
282	0.2132659212
283	0.2125663075
284	0.2119558701
285	0.2117807107
286	0.2114864024
287	0.2113058131
288	0.2105592162
289	0.2102065584
290	0.2094701117
291	0.2092290004
292	0.2086269248
293	0.2083137989
294	0.2083017363
295	0.2075978552
296	0.2066840871
297	0.2062348257
298	0.2059408072
299	0.2057323737
300	0.2051995629
301	0.2048180897
302	0.2047872466
303	0.2046700902
304	0.2045700286
305	0.2035794073
306	0.2035683815
307	0.2030871363
308	0.2023106406
309	0.2019058508
310	0.2018856377
311	0.2016422212
312	0.2013091683
313	0.2011456561
314	0.2001358983
315	0.200090543
316	0.1996641643
317	0.1992845965
318	0.1990776693
319	0.1988376432
320	0.1985390212
321	0.1985320804
322	0.1985084062
323	0.1980212136
324	0.1979493322
325	0.1977129639
326	0.1976296512
327	0.1974322001
328	0.1973211478
329	0.1968443615
330	0.196631185
331	0.1962310686
332	0.1956446927
333	0.1953684909
334	0.1953449692
335	0.1952165307
336	0.1950275982
337	0.194467498
338	0.1937004659
339	0.1936314408
340	0.1932741778
341	0.1931806345
342	0.1926823544
343	0.1925421113
