iter	Passed	Remaining
0	3	1116
1	6	1152
2	10	1173
3	13	1145
4	16	1127
5	19	1108
6	22	1097
7	25	1088
8	29	1079
9	32	1071
10	35	1067
11	38	1059
12	41	1062
13	44	1055
14	47	1048
15	50	1043
16	54	1044
17	57	1038
18	60	1031
19	63	1026
20	66	1026
21	69	1022
22	72	1017
23	76	1018
24	79	1017
25	83	1019
26	86	1016
27	89	1014
28	93	1010
29	96	1009
30	99	1009
31	102	1003
32	106	1002
33	109	999
34	112	996
35	116	993
36	120	996
37	123	993
38	126	990
39	129	987
40	133	985
41	136	981
42	139	978
43	143	975
44	146	972
45	149	969
46	152	966
47	155	961
48	159	957
49	162	957
50	166	953
51	169	950
52	172	946
53	175	941
54	178	938
55	181	934
56	185	933
57	188	927
58	191	924
59	196	927
60	199	924
61	202	920
62	205	916
63	209	917
64	212	913
65	215	909
66	219	906
67	222	903
68	226	901
69	229	897
70	232	894
71	235	891
72	239	887
73	242	883
74	246	882
75	249	879
76	252	876
77	255	872
78	259	869
79	262	865
80	265	862
81	268	858
82	272	857
83	276	855
84	279	851
85	282	848
86	287	849
87	303	882
88	308	884
89	314	886
90	325	905
91	332	909
92	338	912
93	341	907
94	344	903
95	347	898
96	351	895
97	354	890
98	357	885
99	361	881
100	364	877
101	367	872
102	371	868
103	374	863
104	377	859
105	381	856
106	384	851
107	387	846
108	390	842
109	395	840
110	398	836
111	401	832
112	405	828
113	408	824
114	411	820
115	414	815
116	418	811
117	421	807
118	424	803
119	427	798
120	431	794
121	434	790
122	437	786
123	441	782
124	444	778
125	447	774
126	450	770
127	454	766
128	457	762
129	460	758
130	464	755
131	468	751
132	471	748
133	475	744
134	483	747
135	486	744
136	489	740
137	496	741
138	500	737
139	504	734
140	507	730
141	510	726
142	513	722
143	517	718
144	522	717
145	527	715
146	531	711
147	538	713
148	542	709
149	547	708
150	552	706
151	556	702
152	560	699
153	564	696
154	567	692
155	575	693
156	579	689
157	582	685
158	585	681
159	589	677
160	593	674
161	597	671
162	601	667
163	604	663
164	607	659
165	611	655
166	614	651
167	618	647
168	621	643
169	624	639
170	627	634
171	630	630
172	633	626
173	636	622
174	640	618
175	643	613
176	646	609
177	649	605
178	652	601
179	655	597
180	658	593
181	662	589
182	665	585
183	668	580
184	670	576
185	674	572
186	677	568
187	679	564
188	682	560
189	685	555
190	688	551
191	692	547
192	695	544
193	698	539
194	701	535
195	704	532
196	707	528
197	710	524
198	713	520
199	716	516
200	719	512
201	723	508
202	726	504
203	729	500
204	731	496
205	735	492
206	738	488
207	741	484
208	744	481
209	747	477
210	750	473
211	754	469
212	757	465
213	760	461
214	763	458
215	766	454
216	770	450
217	773	446
218	776	443
219	779	439
220	782	435
221	785	431
222	788	427
223	791	424
224	794	420
225	797	416
226	800	412
227	803	408
228	807	405
229	810	401
230	814	398
231	817	394
232	820	390
233	823	387
234	826	383
235	829	379
236	832	375
237	835	372
238	838	368
239	841	364
240	845	361
241	848	357
242	851	353
243	854	350
244	857	346
245	861	343
246	864	339
247	867	335
248	870	332
249	873	328
250	876	324
251	879	321
252	882	317
253	885	313
254	888	310
255	893	307
256	896	303
257	899	299
258	902	296
259	905	292
260	909	289
261	912	285
262	915	281
263	921	279
264	924	275
265	927	271
266	930	268
267	933	264
268	941	262
269	944	258
270	947	255
271	950	251
272	954	248
273	977	249
274	980	246
275	983	242
276	986	238
277	989	235
278	992	231
279	996	227
280	1000	224
281	1003	220
282	1006	217
283	1010	213
284	1013	209
285	1016	206
286	1019	202
287	1025	199
288	1028	195
289	1031	192
290	1035	188
291	1038	184
292	1041	181
293	1044	177
294	1047	174
295	1050	170
296	1054	166
297	1057	163
298	1061	159
299	1064	156
300	1067	152
301	1070	148
302	1073	145
303	1076	141
304	1079	137
305	1082	134
306	1085	130
307	1088	127
308	1091	123
309	1094	120
310	1097	116
311	1100	112
312	1103	109
313	1106	105
314	1110	102
315	1113	98
316	1116	95
317	1119	91
318	1122	87
319	1125	84
320	1128	80
321	1131	77
322	1134	73
323	1137	70
324	1140	66
325	1142	63
326	1145	59
327	1148	56
328	1151	52
329	1154	48
330	1157	45
331	1160	41
332	1163	38
333	1166	34
334	1168	31
335	1171	27
336	1174	24
337	1177	20
338	1180	17
339	1183	13
340	1186	10
341	1189	6
342	1192	3
343	1194	0
